conf,id,Ead,xV,xN,xH,Z,rmsd,rmaxsd,dminN,dminH,M,chi,q,mu,Eg,CNN,dCNN,CNS,dCNS,aminS,amaxS,aminN,amaxN,adispN,adispH,lmin,lmax
1N_3H_14x0_pyridinic,2,-0.383698567431486,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.07422039827162498,0.4876399459000007,4.093369871885936,1.496023896911077,2,0.0,0.009,0.132,1.169338,3.0,0.0,3.333333333333333,1.0,1.9174123835175314,2.2396527672314437,1.8427943534174385,1.8745848837285433,0.3398193496218008,0.24640437512902805,1.3865502572423698,1.503617385604467
1N_3H_14x0_pyridinic,3,1.1542470564851761,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.05255707106336182,0.42815888435000016,4.8323038042670365,4.8323038042670365,2,0.0,0.0,-0.07,1.169338,3.0,0.0,3.0,1.0,2.0782603987511714,2.0951329589538235,1.8427943534174385,1.8745848837285433,2.5613598678719574,2.5613598678719574,1.4214280484002577,1.4276984293486819
1N_3H_14x0_pyrrolic,0,-1.7120599436468107,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.04564602490513576,0.33042228660000017,2.7515631263978415,2.733956259746878,2,0.0,-0.219,0.786,0.841669,3.0,0.0,2.0,1.0,2.2260168661335427,4.057168441046043,1.97581668204601,2.193351828405731,2.5947413937273716,2.5821503182264784,1.3824478630227741,1.3859624902129242
1N_3H_14x0_pyrrolic,1,1.4955872448450356,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.38940126887923676,0.7624418472499999,9.292726824451675,6.726496654292353,2,0.0,-0.0,-0.005,0.841669,3.0,0.0,3.0,1.0,2.0778496098395776,2.0978520787971253,1.97581668204601,2.193351828405731,1.8416932351462718,1.921779840122565,1.428283013469536,1.4304228408715383
1N_3H_14x0_pyrrolic,2,-0.36810812948447086,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.08845848484265133,1.0697375519499994,2.9261739841162524,2.9261739841162524,2,0.0,0.025,0.008,0.841669,3.0,-1.0,2.6666666666666665,1.3333333333333335,2.0067241472454422,2.15319746018994,1.97581668204601,2.193351828405731,3.0682903860663906,3.0682903860663906,1.3824478630227741,1.4521545454512716
1N_3H_14x0_pyrrolic,3,-0.4673732316720431,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.05263216930526528,0.7149792382500004,7.88377158264636,7.88377158264636,2,0.0,0.001,0.003,0.841669,3.0,-1.0,3.0,1.0,2.064916587021487,2.098800890798053,1.97581668204601,2.193351828405731,3.0189721609411793,3.0189721609411793,1.427446371420035,1.4300988387729208
1N_3H_14x0_pyrrolic_SW_A,0,-0.20429743117985286,0.0,0.4464285714285714,1.3392857142857142,6,0.07359370709767343,0.5023818668500004,3.3602355857067936,1.4933446624345816,2,0.0,0.012,0.182,1.197737,3.333333333333333,0.0,3.333333333333333,1.0,2.0191041130948113,2.2386122196390765,1.9518202728069263,2.200603302079219,2.5300818291110434,2.7857778018709634,1.4236223685854978,1.579668622417174
1N_3H_14x0_pyrrolic_SW_A,1,1.5298646052035243,0.0,0.4464285714285714,1.3392857142857142,7,0.04528018728154794,0.4582689014500012,0.0,1.3336545185291402,2,0.0,-0.271,0.013,1.197737,3.333333333333333,1.0,3.333333333333333,1.0,1.9518202728069263,2.200603302079219,1.9518202728069263,2.200603302079219,nan,1.612421316707121,1.4430592679124417,1.4533976542388258
1N_3H_14x0_pyrrolic_SW_A,2,0.6066093607494072,0.0,0.4464285714285714,1.3392857142857142,6,0.018894654738727805,0.3464654090000012,5.265391825131586,5.537894569799279,2,0.0,0.0,0.097,1.197737,3.333333333333333,0.0,3.0,1.0,2.0367029407177806,2.1200316418867056,1.9518202728069263,2.200603302079219,2.780890938653957,2.3003397751695824,1.4279460443044214,1.4622562814097482
1N_3H_14x0_pyrrolic_SW_A,3,1.0823510471208562,0.0,0.4464285714285714,1.3392857142857142,6,0.01998267639708881,0.30940226644999935,6.492247540157555,7.2906581991516655,2,0.0,-0.003,0.079,1.197737,3.333333333333333,0.0,3.0,1.0,2.0709008999416088,2.12036112626071,1.9518202728069263,2.200603302079219,0.4958813915842272,0.6773294387238306,1.4299987045627398,1.445553045452116
